component,RMSE,MAE,model
y_1,0.0021472915365237455,0.0015453807359644236,Centered MA
y_2,8.746023675325509e-4,6.525218231516408e-4,Centered MA
y_3,0.0013988191971955025,9.285039746916504e-4,Centered MA
y_4,0.001234361305379784,9.397842358285693e-4,Centered MA
Total,0.001487962803868229,0.001016547692409071,Centered MA
