model,origins,total_divergences,n_origins_with_div,mean_div_per_origin,total_treedepth_hits,mean_max_rhat,max_max_rhat,mean_min_ess,min_min_ess
Centered MA,104,34,17,0.3269230769230769,0,1.0074163200957196,1.025116740016996,326.9034691590845,82.98512308506406
Raw MA,104,446,45,4.288461538461538,0,1.017071562926627,1.5827754890594512,274.53656830089227,5.235333142734536
