component,RMSE,MAE,model
y_1,0.0021462869142146275,0.0015422529004914824,Raw MA
y_2,8.719662449359941e-4,6.505720191080473e-4,Raw MA
y_3,0.001399402272546374,9.274043642666225e-4,Raw MA
y_4,0.0012363435044059584,9.410879591587232e-4,Raw MA
Total,0.001487762130830353,0.0010153293107562189,Raw MA
