component,RMSE,MAE,model
y_1,0.002078342680915601,0.0015150323583812187,Centered MA
y_2,8.76537012538055e-4,6.501200662884219e-4,Centered MA
y_3,0.0013371876449521296,9.169455778743341e-4,Centered MA
y_4,0.0011977976502487511,9.079579103556811e-4,Centered MA
Total,0.0014414069032041782,9.975139782249138e-4,Centered MA
