component,RMSE,MAE,model
y_1,0.00208067034479416,0.0015165582832754976,Raw MA
y_2,8.762696729654442e-4,6.500194100922442e-4,Raw MA
y_3,0.0013410891470764686,9.206691572948481e-4,Raw MA
y_4,0.001198442831713661,9.082996938014705e-4,Raw MA
Total,0.0014432448635589323,9.98886636116015e-4,Raw MA
