model,origins,total_divergences,n_origins_with_div,mean_div_per_origin,total_treedepth_hits,mean_max_rhat,max_max_rhat,mean_min_ess,min_min_ess
Centered MA,104,28,23,0.2692307692307692,0,1.0105264355018575,1.0318517356252563,218.67833591152294,64.61218793760864
Raw MA,104,29,18,0.27884615384615385,0,1.0136377121693858,1.088390320024034,211.9339052550269,28.04342414996838
