component,RMSE,MAE,model
y_1,0.0021018931102669727,0.001520733190832391,Raw MA
y_2,8.768997533703698e-4,6.539997232201832e-4,Raw MA
y_3,0.0013627090852329242,9.152498285636038e-4,Raw MA
y_4,0.0012217599460777936,9.286605861033901e-4,Raw MA
Total,0.001460871421555055,0.001004660832179892,Raw MA
