component,RMSE,MAE,model
y_1,0.0021030504542513704,0.0015234842890281058,Centered MA
y_2,8.802871330440512e-4,6.563033457633225e-4,Centered MA
y_3,0.0013619809906757377,9.14923104122004e-4,Centered MA
y_4,0.0012203040242208185,9.283821271691777e-4,Centered MA
Total,0.0014613230974207414,0.0010057732165206525,Centered MA
