component,RMSE,MAE,model
y_1,0.0021090034992690115,0.0015301061193553627,Centered MA
y_2,8.605614931547524e-4,6.401284458456574e-4,Centered MA
y_3,0.0013770592106351505,9.265180416907257e-4,Centered MA
y_4,0.0011924547333407984,9.03772377886689e-4,Centered MA
Total,0.0014583125697267075,0.0010001312461946088,Centered MA
