model,origins,total_divergences,n_origins_with_div,mean_div_per_origin,total_treedepth_hits,mean_max_rhat,max_max_rhat,mean_min_ess,min_min_ess
Centered MA,104,60,42,0.5769230769230769,0,1.0073787744958833,1.0178521206053617,390.6196840023547,160.46335636434264
Raw MA,104,186,72,1.7884615384615385,0,1.0088984746130336,1.0296113835737126,340.2416888915271,48.14007521986975
