component,RMSE,MAE,model
y_1,0.0021082507780165417,0.0015271985332954293,Raw MA
y_2,8.576196756846649e-4,6.384895833566416e-4,Raw MA
y_3,0.0013791192162136826,9.2674929741244e-4,Raw MA
y_4,0.001192095783850236,9.031722966199343e-4,Raw MA
Total,0.0014580204920998344,9.989024276711113e-4,Raw MA
