date,cash,securities,loans,other
2015-10-07,0.1795151346120799,0.19586750236375744,0.5199310463935382,0.10468631663062455
2015-10-14,0.17943254126370403,0.19587125044145828,0.5191181809451841,0.1055780273496536
2015-10-21,0.17984287296073972,0.19537083041633987,0.5188820248969834,0.10590427172593697
2015-10-28,0.17687081937221782,0.1961269336642097,0.5202341607964991,0.10676808616707345
2015-11-04,0.1774368966874084,0.1963817827703122,0.520550161628201,0.10563115891407848
2015-11-11,0.1736825326029419,0.1971332020975746,0.5237344276284779,0.10544983767100569
2015-11-18,0.17115041106834056,0.1981568792351549,0.5249896285656224,0.10570308113088211
2015-11-25,0.16912460112092043,0.19869349578674586,0.5265145970512505,0.10566730604108333
2015-12-02,0.16983475564286424,0.19842463871648697,0.52581567406276,0.10592493157788885
2015-12-09,0.1684680323965993,0.1996661889781096,0.5270040369366293,0.1048617416886618
2015-12-16,0.1674450892001906,0.19982724542224498,0.527981038694102,0.10474662668346246
2015-12-23,0.16596071454945752,0.19921115724746413,0.5274533279586188,0.10737480024445956
2015-12-30,0.16147885691867622,0.20058365767165254,0.531788949147459,0.10614853626221221
2016-01-06,0.16390316417786102,0.1993261993482432,0.5287841075712288,0.10798652890266702
2016-01-13,0.16416275290196067,0.1992063158988369,0.5288009280951453,0.1078300031040571
2016-01-20,0.16313623121756318,0.19887115531656366,0.5284674005801911,0.10952521288568207
2016-01-27,0.16260396333152105,0.19934459136980417,0.5310262609754323,0.10702518432324248
2016-02-03,0.1634821655044103,0.19931036540559322,0.5299826480696487,0.1072248210203478
2016-02-10,0.16233448115883659,0.19917652402362712,0.5302184191613046,0.10827057565623166
2016-02-17,0.1632871119980506,0.1986611577350607,0.5307990095144491,0.10725272075243952
2016-02-24,0.1613627700775068,0.19900166725381035,0.5312533051504357,0.10838225751824726
2016-03-02,0.15989093246549624,0.19940685365824362,0.5338830838332191,0.106819130043041
2016-03-09,0.16012527469623672,0.1993499877960731,0.5336473960287428,0.10687734147894734
2016-03-16,0.15820837592112189,0.1998210065602291,0.535384871341139,0.10658574617751004
2016-03-23,0.15796231086087206,0.1999862362116971,0.5352977619373538,0.10675369099007716
2016-03-30,0.15532240430116268,0.19991751788363146,0.5369572213432889,0.1078028564719169
2016-04-06,0.15883779163985548,0.1992693012994625,0.5345640113062432,0.10732889575443882
2016-04-13,0.16016015738219821,0.1997035523225559,0.5332987200611732,0.1068375702340727
2016-04-20,0.16010112967744042,0.19942885262685905,0.534536006981126,0.10593401071457453
2016-04-27,0.15923348100221604,0.199834169712174,0.5344374724425792,0.10649487684303083
2016-05-04,0.1600254144438827,0.19991551161444088,0.5339918029980815,0.10606727094359492
